State,District,Population,Area,Density,Confirmed,Active,Retail,Grocery,Parks,Stations,Workplaces,Residential
Andhra Pradesh,Anantapur,4083315,19130,213,136,40,-78,-25,-59,-47,-35,+23
Andhra Pradesh,Chittoor,4170468,15152,275,208,110,-78,-25,-59,-47,-35,+23
Andhra Pradesh,East Godavari,5151549,10807,477,59,16,-78,-25,-59,-47,-35,+23
Andhra Pradesh,Guntur,4889230,11391,429,426,90,-78,-25,-59,-47,-35,+23
Andhra Pradesh,Krishna,4529009,8727,519,396,100,-78,-25,-59,-47,-35,+23
Andhra Pradesh,Kurnool,4046601,17658,229,638,170,-78,-25,-59,-47,-35,+23
Andhra Pradesh,Prakasam,3392764,17626,192,67,4,-78,-25,-59,-47,-35,+23
Andhra Pradesh,S.P.S. Nellore,2966082,13076,227,182,75,-78,-25,-59,-47,-35,+23
Andhra Pradesh,Srikakulam,2699471,5837,462,16,11,-78,-25,-59,-47,-35,+23
Andhra Pradesh,Visakhapatnam,4288113,11161,384,81,33,-78,-25,-59,-47,-35,+23
Andhra Pradesh,Vizianagaram,2342868,6539,358,16,12,-78,-25,-59,-47,-35,+23
Andhra Pradesh,West Godavari,3934782,7742,508,75,21,-78,-25,-59,-47,-35,+23
Arunachal Pradesh,Anjaw,21089,6190,3,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Changlang,147951,4662,32,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,East Kameng,78413,4134,19,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,East Siang,99019,3603,27,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Kurung Kumey,89717,6040,15,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Lohit,145538,2402,61,1,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Longding,60000,1200,50,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Lower Dibang Valley,53986,3900,14,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Lower Subansiri,82839,3508,24,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Namsai,95950,1587,60,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Papum Pare,176385,2875,61,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Shi Yomi,13310,2875,5,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Siang,31920,2919,11,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Tawang,49950,2085,24,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Tirap,111997,2362,47,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Upper Dibang Valley,7948,9129,1,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Upper Siang,35289,6188,6,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Upper Subansiri,83205,7032,12,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,West Kameng,87013,7422,12,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,West Siang,112272,8325,13,0,0,-62,-8,-11,-44,-4,+10
Arunachal Pradesh,Baksa,953773,2008,475,0,0,-62,-8,-11,-44,-4,+10
Assam,Barpeta,1693190,3245,522,13,13,-74,-25,-24,-50,-21,+16
Assam,Bongaigaon,732639,1724,425,5,0,-74,-25,-24,-50,-21,+16
Assam,Cachar,1736319,3786,459,34,24,-74,-25,-24,-50,-21,+16
Assam,Chirang,481818,1975,244,6,6,-74,-25,-24,-50,-21,+16
Assam,Darrang,908090,1849,491,1,1,-74,-25,-24,-50,-21,+16
Assam,Dhemaji,688077,3237,213,4,4,-74,-25,-24,-50,-21,+16
Assam,Dhubri,1948632,2838,687,8,3,-74,-25,-24,-50,-21,+16
Assam,Dibrugarh,1327748,3381,393,1,1,-74,-25,-24,-50,-21,+16
Assam,Dima Hasao,213529,4888,44,7,7,-74,-25,-24,-50,-21,+16
Assam,Goalpara,1008959,1824,553,11,7,-74,-25,-24,-50,-21,+16
Assam,Golaghat,1058674,3502,302,96,87,-74,-25,-24,-50,-21,+16
Assam,Hailakandi,659260,1327,497,9,8,-74,-25,-24,-50,-21,+16
Assam,Jorhat,1091295,2851,383,11,7,-74,-25,-24,-50,-21,+16
Assam,Kamrup,1517202,3480,436,20,19,-74,-25,-24,-50,-21,+16
Assam,Kamrup Metropolitan,1260419,627,2010,179,166,-74,-25,-24,-50,-21,+16
Assam,Karbi Anglong,965280,10434,93,2,2,-74,-25,-24,-50,-21,+16
Assam,Karimganj,1217002,1809,673,26,24,-74,-25,-24,-50,-21,+16
Assam,Kokrajhar,886999,3129,283,13,13,-74,-25,-24,-50,-21,+16
Assam,Lakhimpur,1040644,2277,457,25,24,-74,-25,-24,-50,-21,+16
Assam,Morigaon,957853,1704,562,20,14,-74,-25,-24,-50,-21,+16
Assam,Nagaon,2826006,3831,738,18,18,-74,-25,-24,-50,-21,+16
Assam,Nalbari,769919,1009,763,17,13,-74,-25,-24,-50,-21,+16
Assam,Sivasagar,1150253,2668,431,12,12,-74,-25,-24,-50,-21,+16
Assam,Sonitpur,1925975,5324,362,14,14,-74,-25,-24,-50,-21,+16
Assam,Tinsukia,1316948,3790,347,6,6,-74,-25,-24,-50,-21,+16
Assam,Udalguri,832769,1676,497,2,2,-74,-25,-24,-50,-21,+16
Bihar,Araria,2806200,2829,992,14,12,-70,+3,-8,-44,-20,+11
Bihar,Arwal,700843,638,1098,33,23,-70,+3,-8,-44,-20,+11
Bihar,Aurangabad,2511243,3303,760,59,41,-70,+3,-8,-44,-20,+11
Bihar,Banka,2029339,3018,672,105,100,-70,+3,-8,-44,-20,+11
Bihar,Begusarai,2954367,1917,1540,156,124,-70,+3,-8,-44,-20,+11
Bihar,Bhagalpur,3032226,2569,1180,95,66,-70,+3,-8,-44,-20,+11
Bihar,Bhojpur,2720155,2473,1136,47,24,-70,+3,-8,-44,-20,+11
Bihar,Buxar,1707643,1624,1003,114,55,-70,+3,-8,-44,-20,+11
Bihar,Darbhanga,3921971,2278,1721,65,57,-70,+3,-8,-44,-20,+11
Bihar,East Champaran,5082868,3969,1281,73,61,-70,+3,-8,-44,-20,+11
Bihar,Gaya,4379383,4978,880,52,46,-70,+3,-8,-44,-20,+11
Bihar,Gopalganj,2558037,2033,1258,99,49,-70,+3,-8,-44,-20,+11
Bihar,Jamui,1756078,3099,567,29,29,-70,+3,-8,-44,-20,+11
Bihar,Jehanabad,1124176,1569,1206,108,101,-70,+3,-8,-44,-20,+11
Bihar,Kaimur,1626900,3363,488,49,17,-70,+3,-8,-44,-20,+11
Bihar,Katihar,3068149,3056,1004,134,125,-70,+3,-8,-44,-20,+11
Bihar,Khagaria,1657599,1486,1115,145,126,-70,+3,-8,-44,-20,+11
Bihar,Kishanganj,1690948,1884,898,31,19,-70,+3,-8,-44,-20,+11
Bihar,Lakhisarai,1000717,1229,815,32,27,-70,+3,-8,-44,-20,+11
Bihar,Madhepura,1994618,1787,1116,43,34,-70,+3,-8,-44,-20,+11
Bihar,Madhubani,4476044,3501,1279,146,125,-70,+3,-8,-44,-20,+11
Bihar,Munger,1359054,1419,958,148,41,-70,+3,-8,-44,-20,+11
Bihar,Muzaffarpur,4778610,3173,1506,38,21,-70,+3,-8,-44,-20,+11
Bihar,Nalanda,2872523,2354,1220,88,17,-70,+3,-8,-44,-20,+11
Bihar,Nawada,2216653,2492,889,70,51,-70,+3,-8,-44,-20,+11
Bihar,Patna,5772804,3202,1803,211,135,-70,+3,-8,-44,-20,+11
Bihar,Purnia,3273127,3228,1014,45,43,-70,+3,-8,-44,-20,+11
Bihar,Rohtas,2962593,3850,763,166,106,-70,+3,-8,-44,-20,+11
Bihar,Saharsa,1897102,1702,1125,54,52,-70,+3,-8,-44,-20,+11
Bihar,Samastipur,4254782,2905,1465,61,58,-70,+3,-8,-44,-20,+11
Bihar,Saran,3943098,2641,1493,43,34,-70,+3,-8,-44,-20,+11
Bihar,Sheikhpura,634927,689,922,52,45,-70,+3,-8,-44,-20,+11
Bihar,Sheohar,656916,443,1882,6,4,-70,+3,-8,-44,-20,+11
Bihar,Sitamarhi,3419622,2199,1491,39,32,-70,+3,-8,-44,-20,+11
Bihar,Siwan,3318176,2219,1495,62,20,-70,+3,-8,-44,-20,+11
Bihar,Supaul,2228397,2410,919,57,54,-70,+3,-8,-44,-20,+11
Bihar,Vaishali,3495021,2036,1717,59,51,-70,+3,-8,-44,-20,+11
Bihar,West Champaran,3935042,5229,753,42,31,-70,+3,-8,-44,-20,+11
Chhattisgarh,Balod,826165,3527,234,18,16,-79,-35,-58,-67,-39,+20
Chhattisgarh,Baloda Bazar,1305343,4748,275,19,19,-79,-35,-58,-67,-39,+20
Chhattisgarh,Balrampur,598855,3806,157,8,8,-79,-35,-58,-67,-39,+20
