State,District,Population,Area,Density,Workplaces,Residential,Retail,Grocery,Parks,Stations,Air quality,Water accessibility,Thermal anomalies,Confirmed,Active,Hotspot,Growth Ratio
Andhra Pradesh,Anantapur,4083315,19130.0,213,-35,23,-78,-25,-59,-47,99,90.5,0,206,98,1,1.6091855080064200
Andhra Pradesh,Chittoor,4170468,15152.0,275,-35,23,-78,-25,-59,-47,99,90.5,1,234,82,1,1.4196741173160600
Andhra Pradesh,East Godavari,5151549,10807.0,477,-35,23,-78,-25,-59,-47,99,90.5,0,147,97,1,1.9345291152562000
Andhra Pradesh,Guntur,4889230,11391.0,429,-35,23,-78,-25,-59,-47,99,90.5,0,452,91,1,1.2230251658360900
Andhra Pradesh,Krishna,4529009,8727.0,519,-35,23,-78,-25,-59,-47,99,90.5,0,445,130,1,1.3392835830278300
Andhra Pradesh,Kurnool,4046601,17658.0,229,-35,23,-78,-25,-59,-47,99,90.5,0,673,123,1,1.2005307424960100
Andhra Pradesh,Prakasam,3392764,17626.0,192,-35,23,-78,-25,-59,-47,99,90.5,0,72,8,1,1.1175190687418600
Andhra Pradesh,S.P.S. Nellore,2966082,13076.0,227,-35,23,-78,-25,-59,-47,99,90.5,0,231,84,1,1.438551009577680
Andhra Pradesh,Srikakulam,2699471,5837.0,462,-35,23,-78,-25,-59,-47,99,90.5,0,21,13,0,1.8571584769711400
Andhra Pradesh,Visakhapatnam,4288113,11161.0,384,-35,23,-78,-25,-59,-47,99,90.5,0,93,30,1,1.3806862320338200
Andhra Pradesh,Vizianagaram,2342868,6539.0,358,-35,23,-78,-25,-59,-47,99,90.5,0,22,18,0,2.2663754066284700
Andhra Pradesh,West Godavari,3934782,7742.0,508,-35,23,-78,-25,-59,-47,99,90.5,0,83,29,1,1.418212946060470
Arunachal Pradesh,Anjaw,21089,6190.0,3,-4,10,-62,-8,-11,-44,54,78.6,0,0,0,0,1.0
Arunachal Pradesh,Changlang,147951,4662.0,32,-4,10,-62,-8,-11,-44,54,78.6,0,0,0,0,1.0
Arunachal Pradesh,East Kameng,78413,4134.0,19,-4,10,-62,-8,-11,-44,54,78.6,0,0,0,0,1.0
Arunachal Pradesh,East Siang,99019,3603.0,27,-4,10,-62,-8,-11,-44,54,78.6,0,0,0,0,1.0
Arunachal Pradesh,Kurung Kumey,89717,6040.0,15,-4,10,-62,-8,-11,-44,54,78.6,0,0,0,0,1.0
Arunachal Pradesh,Lohit,145538,2402.0,61,-4,10,-62,-8,-11,-44,54,78.6,0,1,0,0,1.0
